year,n_tracts,mean_ba,sd_ba,p10,p90,p90_p10,cv,decennial
1990,1302,13.50284948153735,11.97361855204376,3.787565635767691,31.74157303370787,27.954008,.88674754,Decennial
2000,1302,16.82399932922104,13.73412679780828,5.219888036238357,36.63294797687861,31.413059,.8163414,Decennial
2012,1300,20.07042737422563,14.97496021448873,6.647940074906368,41.93644571719538,35.288506,.74612063,ACS 5-yr
2013,1300,20.5070080518176,15.10290273730872,6.863190488814988,43.14884621409934,36.285656,.73647517,ACS 5-yr
2014,1300,20.71159151660277,15.06623345967761,7.105756331695216,43.36657070323325,36.260815,.72743005,ACS 5-yr
2015,1299,21.20430942694507,15.19363867136882,7.556891369686561,43.69747899159664,36.140587,.71653539,ACS 5-yr
2016,1299,21.54621601676385,15.20586523445429,7.835325365205843,44.3382873319179,36.50296,.70573252,ACS 5-yr
2017,1299,21.90891329969185,15.26290782448245,8.167539267015707,44.56744567445674,36.399906,.69665289,ACS 5-yr
2018,1299,22.25317348706187,15.46938407926219,8.324821246169561,45.27736131934033,36.952541,.69515407,ACS 5-yr
2019,1299,22.77782438397571,15.51008984383316,8.457483382993352,45.94896331738437,37.491482,.68092936,ACS 5-yr
2020,1299,23.49425045287959,15.97914344564102,7.790549169859514,47.86706349206349,40.076515,.68012995,ACS 5-yr
2021,1300,24.11225711009967,16.22110554467566,8.294217855990011,49.11816975473393,40.823952,.67273277,ACS 5-yr
2022,1300,24.70956639823105,16.23287734468987,8.57927144859512,49.55636847952698,40.977097,.65694708,ACS 5-yr
2023,1300,25.23759799502277,16.22658007056785,8.828229528405419,49.74407479577117,40.915844,.64295262,ACS 5-yr
2024,1300,25.69095462848853,16.3469545271137,9.437212533950422,50.65761991257585,41.220406,.63629222,ACS 5-yr
